เป้าสินเชื่อ ใหม่,เป้า M,เป้า X,อำนาจยกเว้น
1. ประเภทรถ,รถมอเตอร์ไซค์ทุกชนิด,รถมอเตอร์ไซค์ทุกชนิด,ไม่มี
2. ดอกเบี้ย,3.12% ต่อเดือน ไม่มีมากกว่า 3.12%,3.18% ต่อ 3 เดือน (3.18% /1 เดือน),เอื้อย
3. จำนวนงวด,ไม่เกิน 36 งวด,1 งวด = 3 เดือน (ไม่เกิน 1 งวด),พี่เหน่ง
4. วิธีการผ่อนชำระ,รายเดือน,ราย 3 เดือน,พี่เหน่ง
5. การตรวจสอบ NCB,ไม่มี, ,ไม่มี
6. การจ่ายเงินให้ลูกค้า,1. โอนเงิน,,ภาค
,2.เงินสด ต้องมีรูปจากห้องกล้อง CCTV ด้วย หรือให้ภาครับรอง,,
7. หลักประกัน,,,
7.1. อายุรถ,ไม่เกิน 10 ปี,,พี่เหน่ง
7.2 การถือครองสิทธิหลักประกันน้อยกว่า 180 วัน,กรณีถือครองน้อยกว่า 180 วัน สามารถอนุมัติได้ในกรณีเข้าเงื่อนไขด้านล่าง,,พี่เหน่ง
,เป็นการรับโอนจากบริษัท Finance (คือ ผู้ถือกรรมสิทธิ์เดิมเป็นบริษัท Finance และผู้กู้ เป็นผู้ครอบครองรถเอง) หรือ,,
,รับโอนจาก พ่อ/แม่/ลูก/สามี/ภรรยา (ต้องมีเอกสารแสดงความสัมพันธ์ที่ชัดเจนเช่น ทะเบียนสมรส,,
8. อำนาจ,,,
,สาขา,เขต ภาค,
8.1 วงเงินสินเชื่อ (ยอดจัด),"เฉพาะรถที่มีในเรทไม่เกิน 80,000 บาท มากกว่า 80,000 ต้องออกตรวจสอบ โดย DSI สาขา เขต ภาค คนใดคนหนึ่ง เพื่อยืนยันว่าไม่ใช่แกงค์","ในเรท ไม่เกิน 150,000 บาท มากกว่า 150,000 ต้องออกตรวจสอบ โดย DSI สาขา เขต ภาค คนใดคนหนึ่ง เพื่อยืนยันว่าไม่ใช่แกงค์",พี่เหน่ง
,,,พี่เหน่ง
"8.2 % ของเรท

รถในเรทหมายถึง
'- มีในระบบเรทรถ หรือในตารางเรทรถ และ
-  รถอยู่ในสภาพปกติของรถรุ่นนั้นๆ สภาพพร้อมใช้งาน ไม่โทรม --> เอกสาร KYC ","ภาคต่อไปนี้ได้ 80% ของเรท:
ภาคใต้
ภาคต่อไปนี้ได้ 90% ของเรท:
ภาคเหนือและภาคตะวันออก
ภาคต่อไปนี้ได้ 100% ของเรท:
ภาคตะวันออกเฉียงเหนือและภาคตะวันตก
ภาคต่อไปนี้ได้ 110% ของเรท:
ภาคกลาง",,CRD
8.3 อำนาจการตรวจสอบภาคสนาม,DSI สาขา เขต ภาค ได้ทุกวงเงิน --> ตามเอกสารตรวจสอบ 3 จุด,,พี่ยศ
8.4 อำนาจเรื่องอายุครอบครองหลักประกัน,สาขา,เขต ภาค,
,ถือครองมากกว่า 180 วัน,"31-180 วัน (31 วันขึ้นไป)
น้อยกว่า 30 วัน CRD",พี่เหน่ง
8.5 จำนวนบัญชี,1 บัญชี ทั้งนี้ไม่รวมปิดปรับ,"1 บัญชี ทั้งนี้ไม่รวมปิดปรับ
มากกว่า 1 บัญชี ออกตรวจสอบตามข้อ 8.3 อำนาจภาค 3 คัน",พี่ยศ
9. คุณสมบัติของผู้กู้และผู้ค้ำประกัน,,,
9.1 สัญชาติ,1. บุคคลธรรมสัญชาติไทยเท่านั้น,,พี่เหน่ง
,2. นิติบุคคล (กรรมการผู้มีอำนาจ คนใดคนหนึ่ง ต้องมาเป็นผู้กู้ร่วมด้วย),,
9.2 อายุ,20 – 65 ปี,,พี่เหน่ง
9.3 อาชีพ,ทุกอาชีพ,,พี่สมยศ
9.4 เบอร์โทร,ต้องเป็นเบอร์ปัจจุบันที่ติดต่อได้ รับผิดชอบโดยสาขาที่จัด,,สาขา
"9.5 ผู้กู้หรือผู้ค้ำ:
ทะเบียนบ้าน / เอกสารยืนยันการเป็นคนในพื้นที่",1. เป็นเจ้าของกรรมสิทธ์,,พี่เหน่ง
ผ่านข้อ 1 2 3 ผ่านเลย ,2. ต้องอาศัยอยู่ในพื้นที่สาขาที่จัดไม่เกิน 20 กิโล ยกเว้นอาชีพข้าราชการ,,
,3. เป็นเจ้าบ้าน หรือ,,
,5. ผู้กู้มีทะเบียนบ้านในพื้นที่จัดสินเชื่อ  หรือ,,
,6. อยู่ในทะเบียนบ้านมานานกว่า  5 ปี หรือ,,
,7. หากไม่มีทะเบียนบ้านในพื้นที่ ต้องเป็นเจ้าบ้านในทะเบียนบ้าน  หรือ,,
,8. มีบิลค่าน้ำ  ค่าไฟ  ที่แสดงชื่อลูกค้าเป็นเจ้าของมิเตอร์ฯ   หรือ,,
,9. ตรวจสอบ B1 พบข้อมูล B1 หรือ,,
,10. ผู้กู้ที่ไม่เข้าเกณฑ์ข้อ 3 หรือ 4 หรือ 5 หรือ 6 หรือ 7 หรือ 8 ต้องหาผู้ค้ำประกัน ที่เป็นเจ้าบ้าน,,
"9.6 ผู้กู้หรือผู้ค้ำ:
เอกสารแสดงรายได้",1. เอกสารยืนยันเปิดบัญชีนานกว่า 6 เดือน เพื่อป้องกันบัญชีม้า  (ตัวอย่างเอกสาร) หรือ,,พี่เหน่ง
,2. เอกสารบัญชีธนาคาร (บุ๊คแบงค์) ที่เห็นรายการเงินเข้า-ออก  รายการล่าสุดไม่เกิน 3 เดือน ณ วันที่มาทำสัญญา  โดยสามารถใช้ข้อมูลได้ทั้งจากหน้าสมุดบัญชี (บุ๊คแบงค์) หรือ จากหน้าแอพพลิเคชั่นของธนาคาร ที่ลูกค้าใช้ในการทำธุรกรรม (ตัวอย่างเอกสาร) หรือ,,
,3. บัตรข้าราชการ หรือ,,
,4 เอกสารยืนยันว่าเป็นแพทย์ หรือ บัตรข้าราชการ หรือ รัฐวิสาหกิจ,,
10. เอกสารขอที่ใช้ขอสินเชื่อ,,,
